feature,importance
std_tx_value,0.21001658979860977
avg_tx_value,0.17174730900054186
volume_eth,0.1530586454984094
activity_duration_days,0.12743280075778682
active_days,0.1267735023666608
record_count,0.11947496944090813
transactions_per_day,0.09149618313708308
