wallet_address,vasp,blockchain,label_source,label_source_url,label_status,confidence
0x251e93d51c5f2a1e60b7bc90bc8b2534b68e8f40,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xb624219480543c54603fb6b07d5eb347e51bffe0,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xff9fbb429c186029c28f1e30361271ea002847ad,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x25e01082ab471f4325a45da9ea6b8f27b1f042ef,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xb6fe66f4f56f3aaf60c4e814887af5064ec934f5,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xe90304b0409151a948c9950ed02c34427237ed37,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x569940d32cbcadff9e003235e86536871051abaf,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xe49916b3ff411fc6a83dc31f130e2e85be4a9385,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x8b413e9550505bd7efa4380659793d59d8b11389,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x8914019d12628cce16bc652c39207b604d91d975,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x2bdcda44d935c12c3a76972c4339975782842a12,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x18bc4ee79785142f3aa8a893e9153cfded03637b,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xc5b3a7675e2818c0c6943a2d9ea9a407cbe70f40,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x52f5f2add61c835ff10550402a46621ebd1071d5,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x3d8a489052fd169349f95222e657088b00d24787,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x0873a4edd6e46108a69d82d85df396692903540e,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x1e22cd8cfa52e950e1f1e78d7e9d59b20df63909,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x83005a942be58a41e3f5a4cdf2384e3a887d3678,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xe2d6ae60244376c311cd4f54a8455ed18977134a,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x17a749f7fa0055618aa5f958d5aa13f5f5d19ea1,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xefd9096faef893f5f4e12481c0897ff1e6ade1a7,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x735b1c7fde46d12e16952f650ba05211d37b0e17,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x7982a7efbff0cc2da4092d401aa72c6a0a030231,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xc494468cd4826380365aebbfbb1d6bf8bffe73ef,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xed20e72c966da53c6ac5bbcb0ad16ac9f25b8ab0,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xd34ea7278e6bd48defe656bbe263aef11101469c,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x739120ade7ed878fca5bbdb806263a8258fe2360,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x98f62d5e3cc0cab1ebc5fa6acac9b66a430788f2,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xd35724edd7c6208e9050a97ce3ac89f15566abe9,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x479011b0cb148fd7cd0c3cca0c32f9c6777e577a,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x4442c3e6b5f22b8b4dc3c9329be6c850c5779e85,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x292bf41e2506f88aa3e73721aabc75b4f08e664e,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x714e4559f5488d6c0abde6fa88a64e0b269f25c0,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x6cd5dab3abac9d884ba31270ae0d559e60ee703e,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x2a410f11a6f520398447bf423dcedd25dfd3a568,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xcb39c5b0db9c5b6bd1d9273dccc2f98f532a8bc6,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x8af8485e1f178be06386cd3877fde20626e0284f,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x0fa2415a6e34168c600a2c3dbc893fbf82f4180a,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x55c4bf24450ecb6f818f6be5881a4fc491deb01e,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x969e3afc5580f0bc3790d789781be4150c43d510,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xaee7cb232f11e652751696aa1d2cf14594fb2983,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x34036f30371847c9fd8036b7ea5af1b3126306dc,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x24b4eae904632c53ee231e3bd6c4444745ce22c0,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x109be9d7d5f64c8c391ced3a8f69bdef20fcaea9,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x6675038e71627be276d6347ec330c0c5fdcace61,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xdbad7f38cac7ff6521d3acf242349dfbb5fa965d,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0x226e5888f43b251a5ef1a55b01761f452e8002a5,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x0068f06b31608d24efcff8aa98437227c6f549fc,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x5ccdd1bc112279f93fa364c40e8a5716d2daf666,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x9810762578accf1f314320cca5b72506ae7d7630,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x46ce00ec0866e7a045d2f2778558efee05c4fb08,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x79f67f689b9925710d4dda2a39d680e9cea61c81,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0xac89df060b1a9598d7b33e48f0af523926f36759,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x3c4db5abac91c3000bb675a8a1b0daae31947fee,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x6fa197da931d05788360ec8609e507551d8afa45,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x6321f9f02d9d56261c8c79131ae74d7b427ccaf5,Coinbase,ethereum,Dune Analytics,https://dune.com,probable,high
0x12fd1ac6c2237776ab04bdcb3dbadf6dfbf7f1b6,Kraken,ethereum,Dune Analytics,https://dune.com,probable,high
